age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29.0,blue-collar,single,secondary,no,555,yes,no,cellular,15,may,133.0,4.0,-1.0,0,unknown,no
57.0,technician,married,secondary,no,1741,no,no,cellular,23,jul,364.0,2.0,-1.0,0,unknown,no
60.0,management,married,tertiary,no,3029,no,no,cellular,28,aug,26.0,9.0,-1.0,0,unknown,no
51.0,retired,married,secondary,no,2127,yes,no,unknown,5,may,172.0,1.0,-1.0,0,unknown,no
41.395824078187474,student,single,secondary,no,162,no,no,telephone,20,apr,116.0,1.0,-1.0,0,unknown,no
25.0,management,single,tertiary,no,222,no,no,cellular,27,may,114.0,1.0,-1.0,0,unknown,no
47.0,technician,married,primary,no,1280,no,no,cellular,8,may,51.0,1.0,-1.0,0,unknown,no
34.0,blue-collar,married,primary,no,500,yes,no,cellular,18,nov,240.0,2.0,182.0,1,failure,no
42.0,blue-collar,married,primary,no,1520,yes,no,cellular,5,feb,115.0,1.0,-1.0,0,unknown,no
30.0,services,married,secondary,no,52,yes,yes,cellular,11,may,295.0,1.0,-1.0,0,unknown,no
49.0,management,married,tertiary,no,3840,yes,no,unknown,15,may,146.0,4.0,-1.0,0,unknown,no
28.0,management,single,tertiary,no,282,yes,no,unknown,26,jun,301.0,4.0,-1.0,0,unknown,no
57.0,technician,married,secondary,no,28,yes,no,cellular,8,may,163.0,1.0,358.0,1,failure,no
20.0,student,single,secondary,no,130,no,no,telephone,4,may,75.0,3.0,-1.0,0,unknown,no
43.0,blue-collar,married,primary,no,1518,no,no,cellular,17,jun,94.0,6.0,-1.0,0,unknown,no
58.0,technician,married,secondary,no,99,no,no,telephone,22,sep,396.0,2.0,-1.0,0,unknown,yes
36.0,services,single,primary,no,183,no,no,unknown,12,jun,167.0,5.0,-1.0,0,unknown,no
50.0,blue-collar,married,primary,no,-141,yes,no,unknown,20,jun,61.0,2.0,-1.0,0,unknown,no
34.0,technician,single,secondary,no,347,yes,no,cellular,6,feb,154.0,2.0,197.0,6,failure,no
52.0,technician,married,secondary,no,272,no,yes,cellular,17,jul,53.0,1.0,-1.0,0,unknown,no
47.0,management,divorced,tertiary,no,1149,no,yes,cellular,15,jul,82.0,2.0,-1.0,0,unknown,no
51.0,management,married,tertiary,no,-321,no,no,cellular,6,feb,470.0,2.0,9.0,2,unknown,no
34.0,technician,single,secondary,no,705,yes,yes,unknown,19,may,1203.0,3.0,-1.0,0,unknown,no
35.0,management,single,tertiary,no,385,yes,no,cellular,29,aug,168.0,2.0,-1.0,0,unknown,no
33.0,services,single,secondary,no,1038,no,yes,unknown,3,jul,108.0,1.0,-1.0,0,unknown,no
36.0,entrepreneur,married,secondary,no,1163,yes,no,cellular,18,may,420.0,7.0,363.0,1,failure,no
59.0,management,married,tertiary,no,3342,no,no,cellular,18,mar,467.0,2.0,188.0,6,unknown,yes
34.0,management,married,tertiary,no,3050,yes,no,cellular,13,may,469.0,1.0,-1.0,0,unknown,yes
47.0,blue-collar,married,secondary,yes,162,no,no,cellular,25,aug,366.0,3.0,-1.0,0,unknown,yes
53.0,blue-collar,married,primary,no,0,no,no,cellular,7,jul,114.0,1.0,-1.0,0,unknown,no
38.0,management,married,secondary,no,1759,yes,no,unknown,6,may,440.0,1.0,-1.0,0,unknown,no
45.0,services,married,secondary,no,0,yes,yes,unknown,23,may,268.0,1.0,-1.0,0,unknown,no
54.0,blue-collar,married,primary,no,1849,no,no,cellular,12,aug,127.0,4.0,-1.0,0,unknown,no
54.0,retired,married,secondary,no,1851,no,no,unknown,11,jun,296.0,3.0,-1.0,0,unknown,no
36.0,blue-collar,single,secondary,no,507,yes,no,cellular,22,may,210.0,1.0,-1.0,0,unknown,no
56.0,management,single,secondary,no,237,yes,no,telephone,9,jul,236.0,4.0,-1.0,0,unknown,no
24.0,technician,single,secondary,no,2355,yes,no,unknown,17,jun,158.0,3.0,-1.0,0,unknown,no
59.0,management,married,tertiary,no,1831,no,no,cellular,17,feb,122.0,1.0,92.0,1,failure,no
28.0,technician,married,secondary,no,448,yes,no,cellular,11,may,188.0,2.0,346.0,3,unknown,no
45.0,housemaid,single,primary,no,959,yes,no,telephone,6,feb,156.0,2.0,-1.0,0,unknown,no
27.0,technician,married,secondary,no,130,yes,no,cellular,7,may,265.0,3.0,-1.0,0,unknown,no
33.0,services,single,tertiary,no,-452,no,no,cellular,29,jan,692.0,2.0,-1.0,0,unknown,yes
33.0,entrepreneur,married,tertiary,no,87,yes,yes,cellular,21,nov,141.0,4.0,-1.0,0,unknown,no
58.0,entrepreneur,married,primary,no,1153,yes,yes,telephone,12,may,206.0,6.0,337.0,6,failure,no
33.0,blue-collar,divorced,secondary,yes,-274,yes,yes,cellular,17,apr,715.0,2.0,329.0,2,failure,yes
33.0,admin,single,secondary,no,1834,yes,no,cellular,21,nov,11.0,2.0,-1.0,0,unknown,no
28.0,technician,single,secondary,no,1417,yes,no,unknown,28,may,491.0,1.0,-1.0,0,unknown,no
42.0,management,married,tertiary,no,4,yes,no,cellular,17,jul,795.0,1.0,-1.0,0,unknown,yes
44.0,blue-collar,married,secondary,no,1311,yes,no,cellular,13,may,184.0,1.0,364.0,1,failure,no
25.0,blue-collar,married,secondary,no,758,yes,no,unknown,28,may,504.0,3.0,-1.0,0,unknown,no
58.0,unemployed,married,tertiary,no,1333,no,no,cellular,1,oct,278.0,1.0,-1.0,0,unknown,no
28.0,management,single,tertiary,no,1837,yes,no,telephone,31,jul,49.0,3.0,-1.0,0,unknown,no
47.0,management,married,tertiary,no,434,no,no,cellular,12,aug,111.0,4.0,-1.0,0,unknown,no
44.0,blue-collar,married,secondary,no,261,yes,no,unknown,19,may,87.0,5.0,-1.0,0,unknown,no
41.0,admin,married,secondary,no,338,yes,no,unknown,16,may,121.0,1.0,-1.0,0,unknown,no
56.0,management,married,tertiary,no,334,yes,no,unknown,15,may,127.0,2.0,-1.0,0,unknown,no
58.0,management,married,primary,no,4850,no,no,cellular,7,jul,179.0,2.0,-1.0,0,unknown,no
31.0,management,single,tertiary,no,949,yes,no,cellular,28,jul,52.0,7.0,-1.0,0,unknown,no
52.0,management,married,primary,no,324,no,no,cellular,9,jul,81.0,1.0,-1.0,0,unknown,no
60.0,services,married,secondary,no,132,yes,no,unknown,15,may,29.0,1.0,-1.0,0,unknown,no
46.0,technician,married,secondary,no,57,no,no,unknown,28,may,796.0,1.0,-1.0,0,unknown,yes
53.0,self-employed,married,tertiary,no,167,yes,no,cellular,7,may,84.0,1.0,343.0,1,unknown,no
31.0,admin,single,secondary,no,430,yes,no,cellular,15,apr,103.0,2.0,-1.0,0,unknown,no
32.0,blue-collar,single,primary,no,882,no,yes,cellular,29,jul,80.0,8.0,-1.0,0,unknown,no
49.0,services,married,secondary,yes,-249,no,no,cellular,29,jul,234.0,5.0,-1.0,0,unknown,no
44.0,admin,married,secondary,no,238,yes,yes,unknown,2,jun,306.0,4.0,-1.0,0,unknown,no
46.0,blue-collar,married,primary,no,580,yes,no,telephone,4,feb,30.0,2.0,-1.0,0,unknown,no
24.0,services,single,tertiary,no,1385,yes,no,unknown,28,may,1277.0,2.0,-1.0,0,unknown,no
56.0,blue-collar,married,primary,no,284,no,yes,telephone,3,feb,124.0,4.0,204.0,4,failure,no
53.0,entrepreneur,single,secondary,no,202,no,no,cellular,28,jul,106.0,3.0,-1.0,0,unknown,no
60.0,housemaid,married,primary,no,161,no,no,unknown,6,jun,183.0,1.0,-1.0,0,unknown,no
42.0,management,married,tertiary,no,199,yes,no,cellular,9,jul,497.0,1.0,-1.0,0,unknown,no
43.0,management,single,secondary,no,2968,no,no,unknown,20,jun,30.0,4.0,-1.0,0,unknown,no
44.0,services,divorced,secondary,no,35,yes,no,cellular,16,apr,184.0,2.0,-1.0,0,unknown,no
31.0,management,single,tertiary,no,0,no,no,cellular,28,aug,38.0,16.0,-1.0,0,unknown,no
41.0,technician,single,secondary,no,0,yes,yes,unknown,19,may,162.0,1.0,-1.0,0,unknown,no
34.0,services,married,secondary,no,302,yes,no,unknown,7,may,124.0,1.0,-1.0,0,unknown,no
34.0,management,single,tertiary,no,0,yes,no,unknown,21,may,311.0,1.0,-1.0,0,unknown,no
25.0,student,single,tertiary,no,1189,no,no,cellular,3,jun,165.0,1.0,-1.0,0,unknown,yes
34.0,blue-collar,divorced,primary,no,0,yes,no,cellular,15,may,206.0,5.0,-1.0,0,unknown,no
33.0,management,married,tertiary,no,584,yes,no,cellular,7,aug,269.0,3.0,-1.0,0,unknown,no
53.0,admin,divorced,secondary,no,887,yes,no,unknown,13,may,169.0,2.0,-1.0,0,unknown,no
48.0,management,divorced,tertiary,no,700,yes,no,cellular,29,aug,488.0,2.0,-1.0,0,unknown,no
41.0,blue-collar,married,primary,no,254,yes,no,cellular,12,may,25.0,1.0,309.0,3,failure,no
54.0,admin,divorced,secondary,no,1383,yes,yes,cellular,30,jul,622.0,4.0,-1.0,0,unknown,no
34.0,admin,married,secondary,no,21,no,no,cellular,17,apr,332.0,1.0,346.0,3,failure,no
36.0,admin,single,secondary,no,115,no,no,cellular,4,may,134.0,3.0,91.0,1,failure,no
36.0,blue-collar,married,secondary,no,79,yes,yes,cellular,2,jun,74.0,2.0,-1.0,0,unknown,no
35.0,services,married,secondary,no,0,yes,no,cellular,6,may,343.0,3.0,351.0,1,failure,no
32.0,technician,married,secondary,no,9608,no,no,cellular,8,aug,114.0,4.0,-1.0,0,unknown,no
32.0,admin,married,secondary,no,-540,yes,yes,unknown,30,may,53.0,7.0,-1.0,0,unknown,no
41.0,admin,divorced,secondary,no,2970,no,yes,unknown,27,jun,169.0,2.0,-1.0,0,unknown,no
39.0,blue-collar,single,secondary,no,0,yes,no,cellular,7,may,722.0,2.0,-1.0,0,unknown,no
42.0,blue-collar,married,secondary,no,-269,yes,no,telephone,30,jul,100.0,6.0,-1.0,0,unknown,no
25.0,student,single,secondary,no,125,no,no,cellular,9,feb,215.0,1.0,92.0,2,success,yes
38.0,admin,divorced,secondary,no,19,yes,no,unknown,30,may,604.0,2.0,-1.0,0,unknown,yes
31.0,admin,divorced,secondary,no,525,no,yes,telephone,19,nov,278.0,7.0,-1.0,0,unknown,no
36.0,technician,single,secondary,no,966,no,no,cellular,8,oct,135.0,2.0,91.0,13,failure,no
22.0,student,single,secondary,no,241,yes,no,cellular,13,may,262.55842997323816,1.0,-1.0,0,unknown,no
38.0,admin,married,tertiary,no,4297,no,no,cellular,7,aug,206.0,2.0,-1.0,0,unknown,yes
36.0,blue-collar,married,secondary,no,141,yes,no,unknown,23,may,106.0,3.0,-1.0,0,unknown,no
24.0,management,single,secondary,no,86,no,no,unknown,2,jun,1075.0,2.0,-1.0,0,unknown,no
42.0,blue-collar,married,primary,no,695,yes,no,cellular,16,apr,173.0,2.0,-1.0,0,unknown,no
34.0,management,married,tertiary,no,676,no,no,cellular,7,may,156.0,1.0,177.0,1,success,no
54.0,self-employed,married,primary,no,2132,no,yes,cellular,20,nov,91.0,1.0,-1.0,0,unknown,no
55.0,technician,married,primary,no,1498,no,yes,unknown,17,jun,345.0,2.0,-1.0,0,unknown,no
56.0,management,married,tertiary,no,67,no,yes,cellular,29,aug,88.0,2.0,-1.0,0,unknown,no
30.0,admin,single,secondary,yes,1,no,no,unknown,9,may,307.0,1.0,-1.0,0,unknown,no
43.0,self-employed,married,primary,no,66,yes,no,unknown,7,may,175.0,5.0,-1.0,0,unknown,no
32.0,admin,married,tertiary,no,0,yes,no,unknown,5,may,138.0,1.0,-1.0,0,unknown,no
53.0,admin,divorced,secondary,no,-372,yes,no,unknown,26,may,104.0,1.0,-1.0,0,unknown,no
32.0,management,single,tertiary,no,2613,no,no,cellular,4,may,520.0,2.0,-1.0,0,unknown,no
61.0,admin,married,secondary,no,4629,yes,no,cellular,27,jan,181.0,1.0,92.0,1,success,yes
32.0,entrepreneur,divorced,secondary,no,1121,yes,yes,cellular,16,apr,211.0,3.0,-1.0,0,unknown,no
49.0,management,married,secondary,no,0,no,no,cellular,28,aug,173.0,2.0,-1.0,0,unknown,no
41.0,management,single,tertiary,no,256,yes,no,unknown,3,jun,140.0,6.0,-1.0,0,unknown,no
43.0,blue-collar,divorced,secondary,no,-91,yes,yes,cellular,7,may,92.0,3.0,167.0,4,unknown,no
54.0,self-employed,divorced,secondary,no,1016,yes,no,cellular,21,nov,643.0,3.0,-1.0,0,unknown,no
37.0,technician,married,secondary,no,28,no,no,cellular,21,aug,101.0,2.0,-1.0,0,unknown,no
45.0,unemployed,divorced,primary,yes,11,no,no,cellular,13,aug,489.0,5.0,-1.0,0,unknown,yes
34.0,admin,divorced,secondary,no,0,yes,no,cellular,6,may,153.0,1.0,-1.0,0,unknown,no
61.0,housemaid,single,secondary,no,893,no,no,telephone,2,feb,324.0,1.0,-1.0,0,unknown,no
44.0,blue-collar,married,primary,no,622,yes,no,unknown,21,feb,66.0,1.0,-1.0,0,unknown,no
33.0,blue-collar,married,secondary,no,26,yes,no,cellular,17,apr,342.0,3.0,332.0,1,unknown,no
52.0,services,married,secondary,no,2072,no,no,cellular,10,jul,224.0,1.0,-1.0,0,unknown,no
42.0,management,divorced,tertiary,no,9,yes,no,cellular,21,jul,509.0,1.0,-1.0,0,unknown,no
56.0,blue-collar,married,primary,no,173,yes,yes,telephone,23,jul,31.0,2.0,-1.0,0,unknown,no
36.0,technician,married,secondary,no,627,no,yes,cellular,4,feb,146.0,3.0,244.0,1,unknown,no
46.0,management,married,tertiary,no,326,no,no,cellular,26,aug,182.0,7.0,-1.0,0,unknown,no
78.0,retired,divorced,secondary,no,2628,no,no,telephone,14,apr,129.0,2.0,-1.0,0,unknown,no
55.0,housemaid,divorced,secondary,no,3068,no,no,cellular,7,jul,44.0,3.0,-1.0,0,unknown,no
34.0,blue-collar,married,primary,no,-367,yes,no,unknown,26,may,85.0,1.0,-1.0,0,unknown,no
34.0,management,single,tertiary,no,-292,yes,no,cellular,19,aug,181.0,6.0,-1.0,0,unknown,no
38.0,admin,married,primary,no,3913,yes,no,cellular,20,apr,196.0,2.0,315.0,2,failure,no
31.0,unemployed,single,tertiary,no,498,no,no,cellular,29,jan,264.0,2.0,-1.0,0,unknown,no
28.0,admin,married,secondary,no,157,yes,yes,cellular,28,jul,164.0,2.0,-1.0,0,unknown,no
35.0,admin,divorced,secondary,no,356,yes,no,unknown,29,may,76.0,1.0,-1.0,0,unknown,no
52.0,blue-collar,married,secondary,no,310,yes,no,unknown,28,may,211.0,4.0,-1.0,0,unknown,no
34.0,blue-collar,single,secondary,no,-231,yes,no,cellular,13,may,9.0,8.0,-1.0,0,unknown,no
30.0,blue-collar,single,secondary,no,-457,yes,no,unknown,5,may,143.0,2.0,-1.0,0,unknown,no
31.0,blue-collar,married,primary,no,298,yes,yes,unknown,2,jun,232.0,1.0,-1.0,0,unknown,no
54.0,admin,divorced,secondary,no,200,no,no,cellular,3,jun,170.0,1.0,-1.0,0,unknown,yes
50.0,admin,married,secondary,no,219,yes,no,cellular,15,jul,419.0,7.0,-1.0,0,unknown,no
37.0,blue-collar,married,primary,no,7,no,no,unknown,6,jun,176.0,1.0,-1.0,0,unknown,no
29.0,management,married,secondary,no,231,no,no,cellular,30,apr,80.0,1.0,-1.0,0,unknown,no
31.0,blue-collar,single,primary,no,5972,no,no,telephone,20,nov,59.0,1.0,-1.0,0,unknown,no
26.0,unemployed,single,tertiary,no,2170,no,no,cellular,3,feb,317.0,1.0,-1.0,0,unknown,no
39.0,technician,married,secondary,no,0,no,no,cellular,4,aug,281.0,3.0,-1.0,0,unknown,no
56.0,blue-collar,married,primary,no,547,no,no,unknown,9,jun,84.0,1.0,-1.0,0,unknown,no
35.0,management,single,tertiary,no,431,no,no,cellular,17,aug,343.0,2.0,397.0,1,failure,yes
59.0,housemaid,married,secondary,no,345,no,no,unknown,9,jun,38.0,1.0,-1.0,0,unknown,no
35.0,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617.0,4.0,-1.0,0,unknown,yes
48.0,management,married,tertiary,no,7825,no,no,telephone,21,nov,77.0,5.0,-1.0,0,unknown,no
31.0,management,single,tertiary,no,58,no,no,cellular,29,aug,207.0,2.0,-1.0,0,unknown,no
40.0,services,single,secondary,no,65,yes,no,cellular,15,may,15.0,3.0,-1.0,0,unknown,no
54.0,entrepreneur,married,tertiary,no,651,yes,yes,cellular,22,jul,121.0,2.0,-1.0,0,unknown,no
42.0,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720.0,2.0,-1.0,0,unknown,no
45.0,technician,married,secondary,no,546,yes,yes,unknown,9,jun,152.0,4.0,-1.0,0,unknown,no
26.0,management,single,tertiary,no,3,yes,yes,cellular,1,apr,149.0,1.0,350.0,1,success,yes
37.0,unemployed,married,secondary,no,2424,no,no,cellular,20,nov,633.0,2.0,156.0,2,unknown,no
53.0,retired,married,tertiary,no,1770,no,no,cellular,29,jan,147.0,1.0,-1.0,0,unknown,no
31.0,technician,single,secondary,no,87,yes,no,unknown,19,may,259.0,3.0,-1.0,0,unknown,no
29.0,management,single,tertiary,no,-27,no,no,cellular,13,may,270.0,1.0,-1.0,0,unknown,yes
34.0,blue-collar,single,secondary,no,89,yes,yes,unknown,21,may,175.0,2.0,-1.0,0,unknown,no
41.0,blue-collar,single,secondary,no,277,yes,no,unknown,7,may,2177.0,4.0,-1.0,0,unknown,no
28.0,student,single,tertiary,no,737,yes,no,unknown,27,may,125.0,1.0,-1.0,0,unknown,no
35.0,services,married,secondary,no,5,no,no,cellular,30,jul,153.0,2.0,-1.0,0,unknown,no
37.0,services,married,tertiary,no,0,yes,no,cellular,21,nov,11.0,3.0,175.0,1,failure,no
43.0,management,married,tertiary,no,715,no,no,cellular,20,aug,88.0,4.0,-1.0,0,unknown,no
51.0,admin,married,secondary,no,1699,no,no,unknown,5,jun,153.0,2.0,-1.0,0,unknown,no
61.0,self-employed,divorced,tertiary,no,6,yes,no,cellular,14,apr,133.0,2.0,-1.0,0,unknown,yes
36.0,blue-collar,married,primary,no,378,yes,no,cellular,5,may,1240.0,1.0,-1.0,0,unknown,yes
49.0,blue-collar,single,primary,no,3710,yes,no,telephone,20,nov,107.0,2.0,-1.0,0,unknown,no
35.0,services,married,secondary,no,373,no,yes,unknown,16,jun,162.0,6.0,-1.0,0,unknown,no
36.0,services,married,secondary,no,3972,yes,yes,unknown,19,jun,32.0,1.0,-1.0,0,unknown,no
32.0,technician,married,tertiary,no,4089,no,no,cellular,26,may,114.0,7.0,287.0,3,failure,no
33.0,blue-collar,married,secondary,yes,-266,yes,yes,cellular,3,feb,16.0,7.0,-1.0,0,unknown,no
55.0,retired,married,secondary,no,6690,no,no,cellular,30,apr,534.0,1.0,-1.0,0,unknown,no
46.0,blue-collar,married,secondary,no,-27,yes,no,cellular,11,may,254.0,1.0,-1.0,0,unknown,no
29.0,blue-collar,divorced,secondary,no,0,yes,no,unknown,25,jun,281.0,3.0,-1.0,0,unknown,no
32.0,management,single,secondary,no,0,yes,yes,unknown,16,may,385.0,7.0,-1.0,0,unknown,no
40.0,management,single,tertiary,no,257,no,no,cellular,1,feb,147.0,1.0,209.0,1,failure,no
36.0,management,married,tertiary,no,1357,yes,no,unknown,5,jun,74.0,5.0,-1.0,0,unknown,no
30.0,blue-collar,married,primary,no,-327,yes,yes,cellular,5,may,305.0,1.0,294.0,7,unknown,no
32.0,admin,married,secondary,no,56,yes,no,cellular,2,feb,275.0,1.0,258.0,1,unknown,no
31.0,management,married,tertiary,no,1164,yes,yes,cellular,18,nov,141.0,2.0,123.0,3,failure,no
32.0,blue-collar,married,primary,no,217,yes,no,unknown,16,may,169.0,3.0,-1.0,0,unknown,no
30.0,services,single,secondary,no,399,yes,yes,unknown,23,may,158.0,3.0,-1.0,0,unknown,no
37.0,management,divorced,tertiary,no,1775,no,no,cellular,15,jul,514.0,5.0,-1.0,0,unknown,yes
46.0,blue-collar,married,primary,no,-388,yes,yes,cellular,10,jul,207.0,1.0,-1.0,0,unknown,no
31.0,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688.0,1.0,-1.0,0,unknown,yes
60.0,retired,single,tertiary,no,305,yes,no,cellular,3,feb,137.0,5.0,211.0,3,unknown,no
68.0,retired,married,tertiary,no,2820,no,no,cellular,28,aug,109.0,2.0,-1.0,0,unknown,no
55.0,blue-collar,married,secondary,no,630,no,no,cellular,26,aug,146.0,2.0,-1.0,0,unknown,no
28.0,student,single,secondary,no,404,yes,no,cellular,18,may,33.0,2.0,367.0,4,unknown,no
51.0,services,married,secondary,no,260,no,no,telephone,9,jul,183.0,2.0,-1.0,0,unknown,no
24.0,technician,single,secondary,no,2019,yes,no,unknown,4,jun,1045.0,1.0,-1.0,0,unknown,no
39.0,management,divorced,secondary,no,4314,yes,no,cellular,20,nov,141.0,4.0,-1.0,0,unknown,no
36.0,blue-collar,married,primary,no,243,yes,yes,unknown,30,may,118.0,2.0,-1.0,0,unknown,no
44.0,technician,married,secondary,no,196,no,no,cellular,22,jul,367.0,1.0,-1.0,0,unknown,no
29.0,admin,married,secondary,no,300,yes,no,cellular,16,apr,487.0,3.0,-1.0,0,unknown,no
59.0,services,married,secondary,no,307,yes,yes,unknown,6,may,250.0,7.0,-1.0,0,unknown,no
32.0,management,single,tertiary,no,311,no,no,unknown,12,may,757.0,2.0,-1.0,0,unknown,yes
33.0,services,single,secondary,no,3269,no,yes,cellular,21,nov,381.0,1.0,126.0,1,failure,no
28.0,management,single,tertiary,no,2725,no,no,cellular,16,jun,292.0,1.0,504.0,1,failure,yes
59.0,retired,divorced,primary,no,217,yes,no,unknown,26,may,574.0,3.0,-1.0,0,unknown,no
34.0,technician,single,tertiary,no,612,no,no,cellular,28,aug,81.0,1.0,95.0,1,failure,no
55.0,services,married,secondary,no,752,no,no,unknown,17,jun,204.0,2.0,-1.0,0,unknown,no
40.0,admin,single,secondary,no,2378,yes,no,unknown,2,jun,65.0,1.0,-1.0,0,unknown,no
49.0,housemaid,married,tertiary,no,50,yes,yes,cellular,29,jan,149.0,1.0,-1.0,0,unknown,no
37.0,blue-collar,single,secondary,no,48,no,no,cellular,6,may,140.0,2.0,-1.0,0,unknown,no
61.0,retired,married,primary,no,8729,no,no,cellular,30,oct,480.0,1.0,-1.0,0,unknown,yes
59.0,self-employed,married,primary,no,0,yes,no,telephone,28,jul,97.0,2.0,-1.0,0,unknown,no
55.0,management,married,secondary,no,1157,no,no,cellular,12,jul,289.0,1.0,412.0,2,failure,no
57.0,housemaid,married,secondary,no,271,no,no,cellular,31,jul,81.0,4.0,-1.0,0,unknown,no
37.0,admin,married,secondary,no,597,no,no,cellular,2,jun,395.0,1.0,-1.0,0,unknown,yes
35.0,management,married,tertiary,no,5057,yes,no,unknown,4,jun,193.0,10.0,-1.0,0,unknown,no
38.0,management,married,tertiary,no,238,no,no,cellular,4,aug,139.0,1.0,92.0,3,failure,yes
38.0,blue-collar,married,secondary,no,0,yes,no,cellular,13,may,57.0,5.0,349.0,1,unknown,no
46.0,technician,married,secondary,no,605,yes,no,cellular,20,apr,780.0,2.0,-1.0,0,unknown,no
47.0,management,married,secondary,no,8,no,no,telephone,26,may,164.0,1.0,-1.0,0,unknown,no
47.0,management,married,secondary,no,0,yes,yes,cellular,17,nov,124.0,2.0,-1.0,0,unknown,no
49.0,technician,married,secondary,no,378,no,no,unknown,9,jun,189.0,2.0,-1.0,0,unknown,no
57.0,blue-collar,married,primary,no,1236,no,no,unknown,18,jun,152.0,9.0,-1.0,0,unknown,no
52.0,services,married,primary,no,2618,yes,no,cellular,21,nov,73.0,2.0,-1.0,0,unknown,no
42.0,technician,single,secondary,no,275,no,no,cellular,29,jul,522.0,3.0,-1.0,0,unknown,no
56.0,technician,married,secondary,no,3931,no,no,cellular,14,apr,115.0,1.0,-1.0,0,unknown,no
28.0,blue-collar,married,primary,no,113,yes,no,unknown,8,may,534.0,2.0,-1.0,0,unknown,no
